Date,総合CPI,コアCPI,コアコアCPI,財価格指数,サービス価格指数
2023-01,106.0,105.6,105.0,109.0,103.9
2023-02,106.3,105.8,105.0,108.9,103.9
2023-03,106.5,105.9,105.0,108.9,104.0
2023-04,106.7,106.0,105.0,109.0,104.2
2023-05,106.9,106.1,105.0,109.0,104.4
2023-06,107.0,106.1,105.0,109.1,104.6
2023-07,107.1,106.1,105.0,109.2,104.8
2023-08,107.1,106.1,105.1,109.4,105.1
2023-09,107.1,106.1,105.2,109.6,105.3
2023-10,107.1,106.1,105.3,109.9,105.5
2023-11,107.1,106.1,105.5,110.1,105.7
2023-12,107.1,106.2,105.7,110.4,105.9
2024-01,107.1,106.4,105.9,110.6,106.0
2024-02,107.2,106.5,106.2,110.8,106.1
2024-03,107.3,106.7,106.4,111.0,106.2
2024-04,107.4,107.0,106.7,111.1,106.2
2024-05,107.6,107.2,106.9,111.2,106.2
2024-06,107.8,107.5,107.0,111.2,106.1
2024-07,108.0,107.7,107.2,111.2,106.1
2024-08,108.3,107.9,107.2,111.2,106.2
2024-09,108.5,108.1,107.3,111.2,106.2
2024-10,108.8,108.2,107.3,111.2,106.3
2024-11,109.0,108.3,107.3,111.2,106.5
2024-12,109.2,108.3,107.3,111.3,106.6
