# 政府統計（e-Stat 本体API）収集対象リスト。update_goj.js と index.html の単一ソース。
# 列: 表示名,カテゴリ,ファイル(半角英数),統計表ID(statsDataId),分類コード(任意 例 cat01=001),集約(last/sum),重要度
# 統計表ID が空の行は収集スキップ。search_goj.js で調べて記入してください。
#   ID探し例: ESTAT_APPID=xxx node search_goj.js "消費者物価指数 総合 月次"
# 重要度は参考用（★の数。1=★,3=★★★）。集約は水準・指数=last、フロー(売上/利益/輸出額等)=必要ならsum。
表示名,カテゴリ,ファイル,統計表ID,分類コード,集約,重要度
総合CPI,物価,cpi,0003427113,tab=1;cat01=0001;area=00000,last,1
コアCPI,物価,cpi,0003427113,tab=1;cat01=0161;area=00000,last,3
コアコアCPI,物価,cpi,0003427113,tab=1;cat01=0178;area=00000,last,3
財価格指数,物価,cpi,0003427113,tab=1;cat01=0202;area=00000,last,2
サービス価格指数,物価,cpi,0003427113,tab=1;cat01=0220;area=00000,last,2
全産業売上高,企業業績,corp,0003060191,cat01=078;cat02=104;cat03=26,last,2
製造業売上高,企業業績,corp,0003060191,cat01=078;cat02=108;cat03=26,last,2
非製造業売上高,企業業績,corp,0003060191,cat01=078;cat02=144;cat03=26,last,2
営業利益,企業業績,corp,0003060191,cat01=081;cat02=104;cat03=26,last,3
経常利益,企業業績,corp,0003060191,cat01=086;cat02=104;cat03=26,last,3
設備投資額,企業業績,corp,0003060191,cat01=225;cat02=104;cat03=26,last,3
ソフトウェア投資額,企業業績,corp,,,last,2
利益剰余金,企業業績,corp,0003060191,cat01=027;cat02=104;cat03=26,last,3
現金・預金,企業業績,corp,0003060191,cat01=002;cat02=104;cat03=26,last,2
消費支出,家計・消費,household,0002070001,tab=01;cat01=059;cat02=03;area=00000,last,3
平均消費性向,家計・消費,household,0002070001,tab=01;cat01=249;cat02=04;area=00000,last,2
実収入,家計・消費,household,0002070001,tab=01;cat01=019;cat02=04;area=00000,last,3
可処分所得,家計・消費,household,0002070001,tab=01;cat01=233;cat02=04;area=00000,last,3
小売業販売額,家計・消費,household,0004032483,cat01=0102000;cat02=0101600;cat03=01010100,last,2
就業者数,雇用・賃金,labor,0003005798,tab=01;cat01=000;cat02=02;cat03=0;area=00000,last,2
正規雇用者数,雇用・賃金,labor,0003006361,tab=06;cat01=00;cat02=02;cat03=03;cat04=00;cat05=0;area=00000,last,2
非正規雇用者数,雇用・賃金,labor,0003006361,tab=06;cat01=00;cat02=02;cat03=10;cat04=00;cat05=0;area=00000,last,2
完全失業者数,雇用・賃金,labor,0003005798,tab=01;cat01=000;cat02=08;cat03=0;area=00000,last,2
完全失業率,雇用・賃金,labor,0003005865,tab=02;cat01=000;cat02=08;cat03=0;area=00000,last,3
若年失業率,雇用・賃金,labor,0002060004,tab=02;cat01=000;cat02=0;cat03=08;cat04=01;area=00000,last,1
非労働力人口,雇用・賃金,labor,0003005798,tab=01;cat01=000;cat02=09;cat03=0;area=00000,last,2
現金給与総額,雇用・賃金,kinro,,,last,3
実質賃金,雇用・賃金,kinro,,,last,3
所定外労働時間,雇用・賃金,kinro,,,last,3
名目GDP,GDP・需要,gdp,0004049751,tab=11;cat01=47,last,2
実質GDP,GDP・需要,gdp,0004049756,tab=11;cat01=67,last,3
GDPデフレーター,GDP・需要,gdp,0004049759,tab=19;cat01=67,last,3
民間最終消費支出,GDP・需要,gdp,0004049756,tab=11;cat01=11,last,3
住宅投資,GDP・需要,gdp,0004049756,tab=11;cat01=25,last,2
設備投資,GDP・需要,gdp,0004049756,tab=11;cat01=26,last,3
政府最終消費支出,GDP・需要,gdp,0004049756,tab=11;cat01=19,last,1
公共投資,GDP・需要,gdp,0004049756,tab=11;cat01=27,last,2
輸出,GDP・需要,gdp,0004049756,tab=11;cat01=41,last,2
輸入,GDP・需要,gdp,0004049756,tab=11;cat01=44,last,2
鉱工業生産指数,生産・製造業,production,0004052181,cat01=0001000,last,3
鉱工業出荷指数,生産・製造業,production,0004052182,cat01=0001000,last,2
鉱工業在庫指数,生産・製造業,production,0004052183,cat01=0001000,last,2
鉱工業在庫率指数,生産・製造業,production,0004052184,cat01=0001000,last,3
資本財出荷指数,生産・製造業,production,0004052190,cat01=0004000,last,3
電子部品・デバイス工業生産指数,生産・製造業,production,0004052181,cat01=0046000,last,2
自動車工業生産指数,生産・製造業,production,0004052181,cat01=0070000,last,2
CI先行指数,景気循環,cycle,0003446461,tab=100;cat01=100,last,3
CI一致指数,景気循環,cycle,0003446461,tab=100;cat01=110,last,2
CI遅行指数,景気循環,cycle,0003446461,tab=100;cat01=120,last,1
輸出額,貿易・外需,trade,,,last,3
輸入額,貿易・外需,trade,,,last,2
貿易収支,貿易・外需,trade,,,last,2
経常収支,貿易・外需,trade,,,last,2
第一次所得収支,貿易・外需,trade,,,last,1
新設住宅着工戸数,不動産・建設,realestate,0003114534,tab=19;cat01=11;cat02=11;cat03=11,last,2
貸家着工戸数,不動産・建設,realestate,0003114534,tab=19;cat01=11;cat02=11;cat03=13,last,1
分譲住宅着工戸数,不動産・建設,realestate,0003114534,tab=19;cat01=11;cat02=11;cat03=15,last,1
企業倒産件数,信用・企業体力,credit,,,last,2
倒産負債総額,信用・企業体力,credit,,,last,1
